user_id,track_slug,subscription_date
6,kerala-psc,04-06-2021
6,KTET,04-06-2021
608,spoken-english,04-06-2021
608,APPSC,04-06-2021
608,Eng_With_Awal,04-06-2021
608,Tet,04-06-2021
635,spoken-english,04-06-2021
745,TSPSC,04-06-2021
1506,PET,04-06-2021
1512,spoken-english,04-06-2021
1642,Spoken_eng_hindi,04-06-2021
1796,BANK-INS,04-06-2021
1831,K_HSA,04-06-2021
2610,Spoken_eng_hindi,05-06-2021
3418,Spoken_eng_hindi,05-06-2021
3421,Spoken_eng_hindi,05-06-2021
3439,TNPSC,05-06-2021
3458,spoken-english,05-06-2021
3464,Staff_Nurse,05-06-2021
3464,Apti_ess,27-06-2021
3664,kerala-psc,05-06-2021
3664,ssc,05-06-2021
3827,Spoken_eng_hindi,05-06-2021
5201,spoken-english,05-06-2021
5201,SE_Junior,05-06-2021
5243,spoken-english,05-06-2021
5243,GATE_Civil,06-07-2021
5243,SE_Junior,06-07-2021
5243,Apti_ess,06-07-2021
5609,Spoken_eng_hindi,05-06-2021
5970,spoken-english,05-06-2021
6190,Spoken_eng_hindi,05-06-2021
6323,Spoken_eng_hindi,05-06-2021
7102,kerala-psc,05-06-2021
7305,Spoken_eng_hindi,05-06-2021
7446,Spoken_eng_hindi,05-06-2021
8062,Spoken_eng_hindi,05-06-2021
8962,Spoken_eng_hindi,05-06-2021
9331,spoken-english,05-06-2021
9540,Spoken_eng_hindi,05-06-2021
9677,Spoken_eng_hindi,05-06-2021
9747,Spoken_eng_hindi,05-06-2021
10458,Spoken_eng_hindi,06-06-2021
10590,Spoken_eng_hindi,23-06-2021
10590,Apti_ess,06-06-2021
11104,MPGOVT,06-06-2021
11104,Spoken_eng_hindi,06-06-2021
11104,STUH,13-07-2021
11729,Spoken_eng_hindi,06-06-2021
11729,STUH,23-06-2021
11729,Quant_Easy,23-06-2021
11736,K_HSA,06-06-2021
12102,Eng_Inver_Coc,06-06-2021
12671,Spoken_eng_hindi,06-06-2021
12749,kerala-psc,06-06-2021
12749,OP_KWA,06-06-2021
12749,Civil_Tech,06-06-2021
13430,Eng_Inver_Coc,06-06-2021
13940,spoken-english,11-06-2021
13940,Group_2_2A,10-07-2021
13940,TNPSC,06-06-2021
15230,Spoken_eng_hindi,06-06-2021
15431,kerala-psc,06-06-2021
15431,KPSC_Driver,06-06-2021
15514,spoken-english,06-06-2021
15605,APPSC,06-06-2021
16938,spoken-english,06-06-2021
16938,Anb_eng,07-06-2021
16980,spoken-english,06-06-2021
