user_uid,date_joined,date_of_first_purhcase
6,04-06-2021,04-06-2021
608,04-06-2021,
635,04-06-2021,
745,04-06-2021,
1506,04-06-2021,
1512,04-06-2021,
1642,04-06-2021,04-06-2021
1796,04-06-2021,
1831,04-06-2021,16-06-2021
2610,05-06-2021,05-06-2021
3418,05-06-2021,07-07-2021
3421,05-06-2021,05-06-2021
3439,05-06-2021,07-06-2021
3458,05-06-2021,
3464,05-06-2021,26-06-2021
3664,05-06-2021,04-06-2021
3827,05-06-2021,
5201,05-06-2021,25-06-2021
5243,05-06-2021,
5609,05-06-2021,
5970,05-06-2021,04-06-2021
6190,05-06-2021,08-06-2021
6323,05-06-2021,05-06-2021
7102,05-06-2021,06-06-2021
7305,05-06-2021,05-06-2021
7446,05-06-2021,28-06-2021
8062,05-06-2021,07-06-2021
8962,05-06-2021,05-06-2021
9331,05-06-2021,
9540,05-06-2021,19-06-2021
9677,05-06-2021,05-06-2021
9747,05-06-2021,05-06-2021
10458,06-06-2021,06-06-2021
10590,06-06-2021,
11104,06-06-2021,06-06-2021
11729,06-06-2021,06-06-2021
11736,06-06-2021,05-06-2021
12102,06-06-2021,
12671,06-06-2021,05-06-2021
12749,06-06-2021,
13061,06-06-2021,
13430,06-06-2021,05-06-2021
13940,06-06-2021,10-06-2021
15230,06-06-2021,06-06-2021
15431,06-06-2021,05-06-2021
15514,06-06-2021,
15605,06-06-2021,11-06-2021
16938,06-06-2021,06-06-2021
16980,06-06-2021,08-06-2021
17705,06-06-2021,09-06-2021
18663,07-06-2021,07-06-2021
18935,07-06-2021,09-06-2021
19104,07-06-2021,
19117,07-06-2021,14-06-2021
19709,07-06-2021,
19800,07-06-2021,08-06-2021
20117,07-06-2021,
20168,07-06-2021,
20603,07-06-2021,10-06-2021
20740,07-06-2021,06-06-2021
20817,07-06-2021,08-06-2021
21043,07-06-2021,07-06-2021
21068,07-06-2021,13-06-2021
21317,07-06-2021,12-06-2021
21447,07-06-2021,07-06-2021
21708,07-06-2021,
21760,07-06-2021,08-06-2021
21808,07-06-2021,07-06-2021
22055,07-06-2021,
22059,07-06-2021,
23592,07-06-2021,
23744,07-06-2021,07-06-2021
23827,07-06-2021,
23908,07-06-2021,
24366,07-06-2021,
24495,07-06-2021,02-07-2021
24992,07-06-2021,
25313,07-06-2021,07-06-2021
26478,08-06-2021,
26580,08-06-2021,09-06-2021
27054,08-06-2021,
27499,08-06-2021,
27593,08-06-2021,15-06-2021
27946,08-06-2021,09-06-2021
28487,08-06-2021,09-06-2021
28516,08-06-2021,07-06-2021
28531,08-06-2021,16-06-2021
28621,08-06-2021,11-06-2021
29241,08-06-2021,
29403,08-06-2021,15-06-2021
29443,08-06-2021,
29712,08-06-2021,08-06-2021
30113,08-06-2021,
30117,08-06-2021,
30146,08-06-2021,11-06-2021
30206,08-06-2021,30-06-2021
30437,08-06-2021,08-06-2021
30514,08-06-2021,
30582,08-06-2021,08-06-2021
31373,08-06-2021,07-06-2021
31686,08-06-2021,
31835,08-06-2021,09-06-2021
31949,08-06-2021,09-06-2021
32116,08-06-2021,
32455,08-06-2021,11-06-2021
33238,08-06-2021,
33253,08-06-2021,
33306,08-06-2021,
33681,08-06-2021,
34032,08-06-2021,08-06-2021
34093,08-06-2021,10-06-2021
34172,08-06-2021,
34271,08-06-2021,10-06-2021
34494,08-06-2021,
34926,09-06-2021,13-06-2021
35674,09-06-2021,08-06-2021
36009,09-06-2021,09-06-2021
36042,09-06-2021,
36338,09-06-2021,09-06-2021
36414,09-06-2021,09-06-2021
38173,09-06-2021,17-06-2021
38599,09-06-2021,09-06-2021
38705,09-06-2021,13-06-2021
39414,09-06-2021,
39551,09-06-2021,09-06-2021
39651,09-06-2021,11-06-2021
40853,09-06-2021,25-06-2021
41094,09-06-2021,10-06-2021
41243,09-06-2021,09-06-2021
41527,09-06-2021,
41706,09-06-2021,30-06-2021
41928,09-06-2021,
42048,09-06-2021,09-06-2021
42095,09-06-2021,
43004,10-06-2021,
43158,10-06-2021,09-06-2021
43511,10-06-2021,
43836,10-06-2021,
45214,10-06-2021,09-06-2021
45750,10-06-2021,27-06-2021
45989,10-06-2021,10-06-2021
46198,10-06-2021,
46309,10-06-2021,10-06-2021
46558,10-06-2021,13-06-2021
46605,10-06-2021,25-07-2021
46821,10-06-2021,
46976,10-06-2021,06-07-2021
47744,10-06-2021,10-06-2021
47954,10-06-2021,10-06-2021
47998,10-06-2021,12-06-2021
48295,10-06-2021,
48413,10-06-2021,
48595,10-06-2021,10-06-2021
49995,10-06-2021,
50137,10-06-2021,
50546,11-06-2021,
51345,11-06-2021,
52185,11-06-2021,10-06-2021
52416,11-06-2021,
52425,11-06-2021,
52836,11-06-2021,
53372,11-06-2021,
53782,11-06-2021,
53892,11-06-2021,
55112,11-06-2021,14-06-2021
55281,11-06-2021,11-06-2021
55902,11-06-2021,
56406,11-06-2021,10-07-2021
56741,11-06-2021,30-06-2021
57884,11-06-2021,14-06-2021
57927,11-06-2021,30-06-2021
59886,12-06-2021,29-06-2021
60166,12-06-2021,15-06-2021
60433,12-06-2021,
60441,12-06-2021,12-06-2021
60557,12-06-2021,
60886,12-06-2021,17-06-2021
60964,12-06-2021,12-06-2021
60989,12-06-2021,29-06-2021
61006,12-06-2021,
